state_data,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12,pAVG,pSTD
lie,19,19,20,19,19,657,851,934,19,19,125,19,226.7,360.6
lie,0,0,0,0,0,592,766,868,0,0,317,787,277.5,367.6
lie,7,8,10,10,8,663,687,759,8,8,616,837,301.8,366.2
lie,18,18,18,17,17,502,667,609,18,18,670,844,284.7,338.3
lie,19,19,19,19,19,20,663,666,20,19,682,844,250.8,345.0
lie,0,0,0,0,0,0,541,580,0,0,681,839,220.1,332.4
lie,7,6,10,10,7,7,432,256,7,204,774,842,213.5,309.7
lie,18,18,18,18,18,19,457,638,18,144,765,843,247.8,330.0
lie,19,19,19,19,19,20,568,711,20,294,737,827,272.7,337.4
lie,0,0,0,0,0,0,539,719,0,280,740,826,258.7,345.5
lie,7,9,11,10,7,8,552,727,7,298,742,828,267.2,344.1
lie,18,18,18,18,18,18,565,732,18,336,742,828,277.4,341.5
lie,19,20,19,19,20,20,548,729,19,336,744,830,276.9,339.7
lie,0,0,0,0,0,0,548,728,0,328,737,824,263.8,347.1
lie,12,7,7,10,10,8,550,732,10,325,742,827,270.0,344.3
lie,18,18,18,18,18,18,537,733,18,328,744,830,274.8,340.0
lie,19,19,19,20,19,19,545,737,19,337,744,829,277.2,340.5
lie,0,0,0,0,0,0,534,726,0,322,738,825,262.1,346.0
lie,8,8,6,10,10,8,535,729,11,362,742,827,271.3,343.8
lie,17,18,18,18,18,18,545,735,18,359,744,828,278.0,341.1
lie,19,19,19,19,19,20,526,737,19,354,749,831,277.6,340.4
lie,0,0,0,0,0,0,468,696,0,348,753,836,258.4,342.3
lie,8,7,6,10,10,8,652,701,11,382,726,840,280.1,350.9
lie,18,18,18,18,18,17,658,712,18,610,735,820,305.0,358.1
lie,19,19,20,19,19,19,702,618,20,650,737,660,291.8,338.0
lie,0,0,0,0,0,0,735,483,0,730,711,612,272.6,343.1
lie,10,7,10,10,227,7,774,10,353,763,683,349,266.9,315.0
lie,18,18,18,18,352,178,794,18,616,801,665,18,292.8,333.3
lie,19,20,19,19,564,334,603,19,697,803,612,19,310.7,322.3
lie,0,0,0,0,652,343,424,0,713,807,636,0,297.9,333.2
lie,7,7,9,10,678,405,445,10,768,815,579,11,312.0,336.2
lie,18,18,18,18,704,516,334,18,661,808,532,18,305.3,320.5
lie,19,19,19,19,734,517,261,19,726,809,426,20,299.0,325.7
lie,0,0,0,0,744,485,82,0,766,806,0,0,240.3,348.9
lie,11,7,9,10,744,439,191,11,777,806,10,10,252.1,340.4
lie,18,18,18,18,745,443,196,17,782,810,18,18,258.4,338.2
lie,19,19,19,19,729,457,237,19,779,811,39,19,263.8,334.3
lie,0,0,0,0,693,448,230,0,773,808,118,0,255.8,332.0
lie,8,7,9,10,701,453,239,10,776,810,156,10,265.8,328.8
lie,18,18,17,18,736,443,240,18,779,813,73,17,265.8,333.4
lie,19,19,19,19,745,441,215,19,783,813,75,19,265.5,334.6
lie,0,0,0,0,740,430,197,0,778,808,53,0,250.5,341.0
lie,11,7,10,10,738,439,216,11,778,811,67,11,259.1,336.6
lie,18,17,18,18,708,445,240,18,780,813,218,18,275.9,325.0
lie,19,19,20,19,711,451,244,19,781,814,222,19,278.2,325.3
lie,0,0,0,0,725,426,213,0,777,809,188,0,261.5,333.8
lie,7,6,10,10,740,427,209,11,782,812,143,7,263.7,334.5
lie,18,18,18,18,747,434,216,18,785,814,146,18,270.8,332.3
lie,19,19,19,19,743,438,222,19,785,814,183,19,274.9,330.4
lie,0,0,0,0,763,415,178,0,803,813,46,0,251.5,348.4
lie,7,7,9,10,683,274,133,10,813,839,36,10,235.9,338.2
lie,18,18,18,18,672,202,17,17,817,859,18,18,224.3,343.3
lie,19,19,19,19,725,19,19,19,860,654,19,19,200.8,332.0
lie,0,0,0,0,772,0,0,0,911,433,0,0,176.3,335.8
lie,7,7,10,10,759,7,10,10,925,497,10,10,188.5,337.5
lie,18,18,18,18,766,18,18,18,912,657,18,18,208.1,348.2
lie,19,20,19,19,664,45,19,19,877,846,20,19,215.5,353.4
lie,0,0,0,0,612,365,325,0,809,825,525,0,288.4,333.8
lie,11,8,6,10,602,147,474,11,764,828,745,10,301.3,349.5
lie,18,19,18,18,565,18,322,19,550,832,758,18,262.9,325.4
lie,20,20,21,20,561,20,304,20,591,827,733,20,263.1,323.3
lie,0,0,0,0,594,0,216,0,734,824,688,0,254.7,345.4
lie,8,8,10,10,675,8,10,10,768,825,654,10,249.7,357.6
